Compteurs,description Compteurs
A005-12,Poste de garde 
B002-14,Auto passion
B004-15,local W (Local à papier derrière Sylfen) + local Antoine2
B008-13,Atelier mécanique cheylas
C00000001-A003,Altitude commerciale (la conserverie)
C00000002-B007,Sibuet atelier (hall A billettes)
C00000003-B001,Sylfen
C00000004-A002,Bureaux et communs administratif centraux rez de chaussée
C00000005-A001,"coffret ""local pompes"""
C00000006-B006,Carrossier 
C00000007-B005,Cascade
C00000008-B003,K2M
C00000009-A004,Locaux socio de Sibuet 
C00000010-EM_VIRTUAL,Total puissance
C00000011-EM_DC_VIRTUAL,compteur inconnu
D001-11,Clim sweetair
D002-10,rez de chaussée aile chartreuse
C00000011-A006,serma
